expression,model,mean_ic,ic_tstat,ic_days,signal_autocorr,coverage,error
"BOUND(MIN(($close - $high), $return), -3, 3)",random-grammar-seed2,-0.011502390873357823,-9.929996021750213,4527,0.4076505272180763,0.4231145422176451,
"MAX(($high - $close), $return)",random-grammar-seed2,0.011416774075546835,9.668918074502052,4527,0.4918350704061509,0.4231145422176451,
"(BOUND(($close - $high), -3, 3) - IF_ELSE((($low - $close) >= 0), ($return * $low), ($high - $dollar_volume)))",random-grammar-seed2,-0.010113301347580568,-8.241772557739013,4528,0.5610803148607874,0.4232162364985678,
"(ZSCORE($close) * (MAX($return, ($open * $close)) / (TS_STD($dollar_volume, 10) + 1e-8)))",random-grammar-seed2,-0.009432848254652654,-8.085111534010125,4519,0.9355043523436818,0.42121345281120803,
"POWER((COUNT(($high <= $low), 5) + (IF(($dollar_volume >= 0), ($close - $high), ($high - $dollar_volume)) * IF(($dollar_volume >= $open), ($dollar_volume - $open), ($open + $high)))), 1)",random-grammar-seed2,-0.009097107002961496,-7.594341072729232,4524,0.4460833550193938,0.42199900241523913,
"IF((BOUND($dollar_volume, -3, 3) > 0), TS_COVARIANCE(($close - $open), $dollar_volume, 252), CS_RANK($close))",random-grammar-seed2,-0.00705399172241764,-6.578909569377888,4277,0.9897793170904154,0.38113867912292554,
"POWER(($volume * $close), 0.25)",random-grammar-seed2,-0.009741548771793099,-6.3240905724433585,4528,0.7238635873748912,0.4232771498241967,
"(TS_COV($open, ($return + $dollar_volume), 3) - MAX(($high - $volume), ($volume - $volume)))",random-grammar-seed2,-0.006773440871757528,-6.162115494071404,4525,0.3559899368627907,0.42212211960305673,
"POWER(TS_COV(($return * $close), $close, 21), 2)",random-grammar-seed2,-0.009665573122729228,-6.02382529105182,4507,0.8568559648604648,0.41995763168473743,
"IF(($open < ($return - $dollar_volume)), $high, $return)",random-grammar-seed2,-0.01273625073999652,-5.825895114631101,4527,-0.020591798931508646,0.4224746941912304,
"(ZSCORE(($close * $low)) - IF((($return * $high) < 0), ($low - $close), IF((($return - $low) > 0), ($return + $close), ($dollar_volume * $high))))",random-grammar-seed2,0.006865309766582572,4.662739707182901,4527,0.22980250250511808,0.4231145422176451,
"TS_DECAY_LINEAR($volume, 252)",random-grammar-seed2,-0.008699445195777401,-4.421261995220283,4277,0.9978854463674482,0.38500164220777244,
$volume,random-grammar-seed2,-0.008196796672654494,-4.342039685633712,4528,0.5649261704615858,0.4232771498241967,
"MAX(POWER(TS_DELTA($return, 5), 2), $volume)",random-grammar-seed2,-0.008148512335977923,-4.31294094601875,4522,0.565556188109688,0.4223257662722142,
"MIN(TS_COVARIANCE($close, $return, 252), ($close - $volume))",random-grammar-seed2,0.007717360123023128,4.090155639290545,4276,0.5666814836695351,0.38485645684478004,
