expression,model,mean_ic,ic_tstat,ic_days,signal_autocorr,coverage,error
"(COUNT(($low <= ($close - $low)), 63) + BOUND($volume, -3, 3))",random-grammar-seed4,-0.008900623673556008,-9.108990522101799,4466,0.9925051505656975,0.4135111434605609,
"(BOUND($low, -3, 3) * MIN($return, $high))",random-grammar-seed4,-0.012785381681449172,-5.852494704600084,4527,-0.02139813368471395,0.4231145422176451,
"(BOUND($low, -3, 3) * MIN($return, ($high * $high)))",random-grammar-seed4,-0.012785358630327584,-5.852483402308975,4527,-0.02139796984560647,0.4231145422176451,
"BOUND(BOUND(MIN($low, $return), -3, 3), -3, 3)",random-grammar-seed4,-0.01273182985930629,-5.824179996863469,4527,-0.020675083066406672,0.4231145422176451,
"MAX(($return * $dollar_volume), IF((($low * $volume) > $dollar_volume), $high, $high))",random-grammar-seed4,-0.008502839242091378,-4.741958203915679,4527,0.07611580922250422,0.4231145422176451,
"(DELTA(IF_ELSE(($return > 0), $low, $return), 3) * BOUND($open, -3, 3))",random-grammar-seed4,-0.00675263937420174,-4.516626004623307,4524,-0.0056867622900904635,0.4220011963273911,
"TS_SUM(POWER($volume, 1), 3)",random-grammar-seed4,-0.008610151386120504,-4.4911969285312665,4526,0.886189937049962,0.42295619338174134,
(RANK(($return - $volume)) * CS_RANK(($low + $high))),random-grammar-seed4,0.008941024847472891,4.382827054763056,4527,0.8280132959723203,0.4231145422176451,
CS_DEMEAN($volume),random-grammar-seed4,-0.008196796672654494,-4.342039685633712,4528,0.6170315539051346,0.4232771498241967,
"POWER(POWER(POWER($volume, 1.5), 1.5), 0.25)",random-grammar-seed4,-0.008196796672654494,-4.342039685633712,4528,0.652322608723948,0.4232771498241967,
"MIN($volume, ($return + $dollar_volume))",random-grammar-seed4,-0.008137185021280212,-4.309313080956402,4527,0.5628783971950528,0.42311531653958107,
"(MIN(($close - $volume), ($open - $low)) + COUNT((TS_MAX($close, 5) > 0), 3))",random-grammar-seed4,0.008140448005234129,4.308855099078212,4522,0.5659406373859845,0.4216854020311755,
"POWER((TS_COV(($dollar_volume + $close), $high, 10) + MIN(($open * $close), ($close + $close))), 3)",random-grammar-seed4,-0.005184863287486034,-4.021771786300395,4519,0.787263160693017,0.42120996836249625,
"DELTA((COUNT((($open - $volume) > $open), 5) + TS_COVARIANCE($dollar_volume, $open, 3)), 252)",random-grammar-seed4,-0.003985181303058864,-3.6290410095187973,4272,0.3577917922836301,0.3838916517125743,
"POWER((CS_DEMEAN(($close + $return)) / (MAX($low, $dollar_volume) + 1e-8)), 1)",random-grammar-seed4,-0.004951462935661938,-3.5266617043518913,4527,0.7724408609022093,0.4231145422176451,
"POWER($close, 1.5)",random-grammar-seed4,-0.005102013415165675,-3.39338420885437,4528,0.9898285984002908,0.4232771498241967,
"(IF_ELSE((($low * $high) < 0), ($close * $dollar_volume), $close) - BOUND(($dollar_volume - $dollar_volume), -3, 3))",random-grammar-seed4,-0.005101719759600476,-3.393172842939404,4528,0.9901265929778483,0.4232763755022607,
"(BOUND($close, -3, 3) * IF_ELSE(($return >= ($high * $dollar_volume)), ($high - $high), $close))",random-grammar-seed4,-0.005052124043174917,-3.3597922971005416,4527,0.9915567323560249,0.4231145422176451,
"MAX($close, MIN(POWER(($low * $return), 2), $open))",random-grammar-seed4,-0.0049720963747052335,-3.2917086899869594,4527,0.9739855794559764,0.4224746941912304,
"COUNT((BOUND(COUNT(($volume > 0), 3), -3, 3) >= ($open + $return)), 21)",random-grammar-seed4,-0.0049490242574343375,-3.2742289979888826,2319,0.9884204748402633,0.4188548681942748,
"POWER(TS_DECAY_LINEAR($high, 252), 2)",random-grammar-seed4,0.005779211504618501,3.215185731290131,4277,0.9999016652645912,0.38492304853127257,
"BOUND(IF_ELSE((($volume + $high) >= ($open + $open)), $low, ($dollar_volume + $open)), -3, 3)",random-grammar-seed4,0.00487667045493763,3.1932750264700975,2095,0.7762060588661212,0.42263588220756604,
"(COUNT((IF(($return > 0), $high, $high) > ($open * $low)), 63) + DELTA(TS_COVARIANCE(($dollar_volume - $volume), $open, 5), 21))",random-grammar-seed4,-0.0032895215001468307,-3.0179514814406425,4465,0.6729092798042392,0.4118466094055595,
"MIN($open, TS_CORR(($dollar_volume * $close), $volume, 21))",random-grammar-seed4,0.008059703242031457,2.9669357529098432,4508,0.964287270988046,0.41948645678670593,
"(POWER($open, 2) + (LN(POWER(($low + $volume), 2)) * BOUND(($low - $volume), -3, 3)))",random-grammar-seed4,0.005689525300651189,2.9572640896029303,4528,0.9885536988478446,0.42263588220756604,
"POWER(MAX((POWER(($low + $high), 0.5) / (COUNT(($close > 0), 3) + 1e-8)), ($return - $volume)), 2)",random-grammar-seed4,0.00561812238420287,2.9254625179213467,4526,0.9930207326024704,0.4229554190598054,
"(IF_ELSE((($close - $volume) <= 0), ($low + $return), $return) / (BOUND($high, -3, 3) + 1e-8))",random-grammar-seed4,0.005656209360071535,2.9236977858609845,4527,0.9889639004687544,0.4231145422176451,
"MAX(($high + $open), ($open + $high))",random-grammar-seed4,0.005537892716432419,2.893766981763114,4528,0.9897386955508033,0.42263588220756604,
"POWER(MIN($open, $low), 0.5)",random-grammar-seed4,0.005590926536741018,2.8894580049309697,4528,0.9901595967939631,0.42263588220756604,
"TS_DELTA(TS_MAX(($high - $return), 3), 10)",random-grammar-seed4,-0.005513950436197289,-2.882381021609343,4515,0.9291226817255087,0.42122132508422366,
"IF((($volume + $open) <= ($dollar_volume * $low)), $high, POWER($close, 3))",random-grammar-seed4,0.005435403844298422,2.8527325926122975,4528,0.9844178323615241,0.42263588220756604,
"(ZSCORE($volume) * MIN($close, IF((($volume * $low) >= 0), ($high * $dollar_volume), ($low * $high))))",random-grammar-seed4,-0.005090880608398882,-2.803032377608166,4528,0.6864437840955417,0.4232763755022607,
ABS(($dollar_volume - $high)),random-grammar-seed4,-0.004381930463020485,-2.7406718672252675,4528,0.5795015853799865,0.4232763755022607,
"IF_ELSE((COUNT((($open - $close) <= ($dollar_volume * $open)), 5) >= 0), ($dollar_volume - $high), COUNT((($close - $volume) <= 0), 63))",random-grammar-seed4,-0.004322021228960824,-2.7058967577802076,4524,0.5801482807331866,0.42193241072874665,
"(RANK(($dollar_volume - $high)) + MIN(($return * $return), $open))",random-grammar-seed4,-0.004307290455337734,-2.692406070590653,4527,0.6723008073174919,0.4224746941912304,
"(BOUND(COUNT(($return >= ($close + $open)), 3), -3, 3) + ABS($dollar_volume))",random-grammar-seed4,-0.004244961077560766,-2.6553748884275725,4525,0.5779198817309212,0.42212211960305673,
"MIN($open, TS_CORR(($volume - $dollar_volume), ($dollar_volume * $dollar_volume), 3))",random-grammar-seed4,-0.0016126149475990629,-2.0525152372466517,4526,0.2639938118797804,0.4223162163016707,
"MAX(MIN(($close - $return), CS_RANK(($high - $low))), ($return * $high))",random-grammar-seed4,-0.0031697776808161738,-1.991545240921996,4527,0.15424413277386362,0.4231145422176451,
"IF_ELSE((($low - $volume) > 0), BOUND($low, -3, 3), TS_RANK(($low - $dollar_volume), 252))",random-grammar-seed4,-0.002694688356118891,-1.837852530780687,4277,0.56742711246409,0.38492304853127257,
"(TS_COVARIANCE($volume, ($open * $dollar_volume), 5) / (IF((($low * $close) > 0), ($low + $volume), $low) + 1e-8))",random-grammar-seed4,-0.002283019916488501,-1.6332935006117602,4524,0.7123205551369142,0.42193241072874665,
"ZSCORE(MIN($high, $close))",random-grammar-seed4,-0.002204557181011327,-1.3655612773824846,4528,0.988809029829362,0.4232763755022607,
"TS_COVARIANCE($low, COUNT(($open <= $dollar_volume), 63), 252)",random-grammar-seed4,0.0009499352727365355,1.3289074292403478,4215,0.028620344676268793,0.37152366553680194,
"SQRT(TS_RANK(($volume * $open), 63))",random-grammar-seed4,0.0015688612495447154,1.268791632369979,4466,0.4872492708062417,0.4120009575781275,
"POWER((EMA($high, 3) - COUNT((MIN(($open + $volume), $volume) >= $open), 63)), 0.25)",random-grammar-seed4,0.0023771143279202366,1.265462474577106,4314,0.9544479880995582,0.1657264462559276,
"TS_COVARIANCE(SIGN($return), $high, 3)",random-grammar-seed4,-0.001453230774476539,-1.2516886974551102,4525,0.2329257691027032,0.42279603779465375,
"(IF((($dollar_volume + $open) < 0), ($volume - $return), ($volume + $open)) / (TS_COV(($high * $return), POWER($low, 2), 252) + 1e-8))",random-grammar-seed4,-0.0014159613560679877,-1.1899876606985829,4276,0.030933933774185067,0.3842917180461535,
"TS_CORR(POWER(MIN(($volume * $close), ($return * $low)), 3), $volume, 10)",random-grammar-seed4,0.0013073100544450285,1.0287940769081465,4518,0.846304896918528,0.42167262571923214,
"COUNT((TS_MIN((IF_ELSE(($return < $high), $close, ($close * $dollar_volume)) * ZSCORE($high)), 63) <= ($high + $low)), 10)",random-grammar-seed4,0.0007141186964085,0.9960512956537089,4456,0.9927440271943352,0.41195127192057,
"(COUNT(((BOUND(($return - $volume), -3, 3) * TS_COVARIANCE(($close + $return), ($open - $dollar_volume), 3)) > $dollar_volume), 63) + MAX($close, $low))",random-grammar-seed4,0.0012149978389906005,0.7072995804688008,4463,0.9918787049496982,0.4115084888268571,
"TS_COVARIANCE(MAX(($open * $open), ($close - $dollar_volume)), $high, 21)",random-grammar-seed4,0.0007880221501876433,0.513805424568957,4508,0.9873909267698424,0.4191674361490906,
"TS_CORR(MIN(IF_ELSE((($dollar_volume - $return) <= 0), BOUND(($dollar_volume * $low), -3, 3), $close), $close), TS_ARGMIN(($volume * $open), 10), 63)",random-grammar-seed4,-0.0005825287004032029,-0.5061497024002425,4457,0.9832254963073169,0.41047915686665465,
"(CS_RANK(IF_ELSE((($high * $open) > 0), ($low + $dollar_volume), ($volume - $volume))) * MIN($dollar_volume, $high))",random-grammar-seed4,0.000786221161926832,0.49152934703931794,4528,0.813988036105218,0.42263588220756604,
"TS_COVARIANCE(TS_CORR($close, ($close * $high), 3), (COUNT(($high >= $return), 3) + LOG($low)), 21)",random-grammar-seed4,-0.000279845104137297,-0.2958289175068468,4505,0.9213318800119634,0.41778720729824237,
"BOUND(TS_CORR(($low - $open), ($dollar_volume * $low), 252), -3, 3)",random-grammar-seed4,-0.00010288170951420612,-0.07923092253237182,4277,0.9867538858477187,0.3811379048009896,
