expression,model,mean_ic,ic_tstat,ic_days,signal_autocorr,coverage,error
"(EMA(($volume * $close), 5) / (IF_ELSE(($open < 0), ($volume + $open), ($close + $dollar_volume)) + 1e-8))",random-grammar-seed0,-0.01167565978949885,-10.96842263093681,4524,0.3155885695168782,0.42203552459988525,
"SQRT((BOUND($return, -3, 3) / (TS_CORR(($close * $low), $open, 63) + 1e-8)))",random-grammar-seed0,-0.015794020089175034,-7.564934911730438,4334,0.1548416522598621,0.21332517714227453,
$return,random-grammar-seed0,-0.012732448062847592,-5.82446163356001,4527,-0.020539668907386482,0.42311531653958107,
"BOUND($return, -3, 3)",random-grammar-seed0,-0.012732448062847592,-5.82446163356001,4527,-0.020539668907386482,0.42311531653958107,
"(BOUND(COUNT(($close < $high), 252), -3, 3) * MAX($return, POWER(($high - $dollar_volume), 3)))",random-grammar-seed0,-0.01184953076673746,-5.583441840570548,4277,-0.02068701280019123,0.38492304853127257,
"POWER((TS_RANK($dollar_volume, 252) * ZSCORE($return)), 1)",random-grammar-seed0,-0.011844128078157342,-5.505360138116497,4277,0.014881048372891793,0.38500164220777244,
"(COUNT(($return >= 0), 5) * IF_ELSE((($high + $high) > $return), $dollar_volume, IF((($volume - $return) > $high), $low, $low)))",random-grammar-seed0,-0.008043943135234087,-5.175223159556095,4523,0.609198317992188,0.42248024349843805,
"TS_COVARIANCE(($close - $volume), ($close - $dollar_volume), 3)",random-grammar-seed0,-0.007770524584862662,-5.129728086151169,4526,0.5835103340954645,0.42295619338174134,
"(TS_CORR(($high * $open), TS_ARGMAX(POWER(($high + $open), 1.5), 252), 3) - LN($return))",random-grammar-seed0,0.010141235856966814,5.033075070968897,4117,0.14362417186941956,0.18990258384777348,
"TS_COV(ZSCORE(($volume + $open)), $open, 5)",random-grammar-seed0,-0.004718149857027226,-4.978425965425922,4524,0.6836782261899662,0.42193241072874665,
"MIN(($high * $volume), TS_COVARIANCE($return, $close, 63))",random-grammar-seed0,-0.01116954064215568,-4.977407000093051,4465,0.9584540952440669,0.41337912157047974,
"COUNT((BOUND($return, -3, 3) <= 0), 252)",random-grammar-seed0,-0.011125998534765723,-4.966958990236326,4276,0.9908630087471983,0.38485645684478004,
"((CS_DEMEAN(($open - $low)) / (MIN($return, ($dollar_volume + $close)) + 1e-8)) - ZSCORE(($return * $return)))",random-grammar-seed0,-0.004909959067173301,-4.670571055067516,4527,0.005332603506633288,0.4224746941912304,
"SIGN(TS_DELTA(($open + $open), 252))",random-grammar-seed0,0.009504441459844623,4.602429410117513,4276,0.9280019438663994,0.3845978333181695,
"(COUNT((($dollar_volume - $dollar_volume) <= ($return + $dollar_volume)), 63) / (MAX(($open * $return), ($volume + $high)) + 1e-8))",random-grammar-seed0,0.008508268000141523,4.4858903154216865,4465,0.6315147521242689,0.41278031260667086,
"MAX($volume, ($low - $dollar_volume))",random-grammar-seed0,-0.008197126284034937,-4.342107725919893,4528,0.5650734330836025,0.4232763755022607,
"IF(($return < 0), ($return + $high), ($dollar_volume - $open))",random-grammar-seed0,-0.006669045305208742,-4.016166597951264,4527,0.1661361304851924,0.42278803646798213,
"SQRT((TS_DELTA($volume, 21) + COUNT(($return > 0), 3)))",random-grammar-seed0,-0.006120473722851976,-3.4184499388623872,4454,0.446607949984214,0.20876093649076008,
"(RANK(($volume - $dollar_volume)) - (POWER($close, 3) + IF((($dollar_volume + $low) < ($high + $close)), ($volume + $high), $open)))",random-grammar-seed0,0.005085289880051118,3.378808959109724,4528,0.9880513212512054,0.42263588220756604,
"TS_MEAN(MIN(MIN($open, $open), $open), 63)",random-grammar-seed0,0.006266339295179319,3.3536761593414366,4466,0.9997257873998525,0.4120009575781275,
"POWER(IF_ELSE(($high <= ($open + $open)), ($close - $return), $open), 1.5)",random-grammar-seed0,-0.005036066172369954,-3.349955283282012,4527,0.9917342759389642,0.42247327460101447,
"BOUND(ABS($low), -3, 3)",random-grammar-seed0,0.00488466899966971,3.1979677617373103,2095,0.777521977576919,0.4232763755022607,
"TS_PRODUCT(IF((($open - $volume) >= $dollar_volume), $high, $low), 5)",random-grammar-seed0,0.006117219635273942,3.1670302506432773,4524,0.9933246504131074,0.42193241072874665,
"(TS_SUM(($return - $open), 3) - POWER($low, 0.25))",random-grammar-seed0,-0.006050515887672474,-3.1532552715629283,4525,0.9952763569889944,0.42212211960305673,
"BOUND(CS_DEMEAN(BOUND(($return - $high), -3, 3)), -3, 3)",random-grammar-seed0,-0.004716884791178713,-3.0936911652853625,1986,0.9312392921223493,0.4231145422176451,
"MIN($high, (CS_RANK(($low + $low)) * TS_DECAY_LINEAR($open, 3)))",random-grammar-seed0,0.005806680848014579,3.011505884843438,4526,0.9930459043162709,0.42228008127799255,
"MAX((COUNT(($volume < ($close * $return)), 3) + ZSCORE(($low - $high))), IF_ELSE((IF_ELSE(($dollar_volume > 0), ($dollar_volume + $high), $close) > $low), $open, $return))",random-grammar-seed0,0.0057606234946888345,2.999718428273136,4525,0.9909454392450762,0.4221582546267349,
"IF_ELSE(($open > 0), $open, ($volume * $volume))",random-grammar-seed0,0.005656780854274619,2.9458786945056756,4528,0.9880911236778349,0.42263588220756604,
"(POWER($low, 1) + COUNT(($high >= $volume), 3))",random-grammar-seed0,0.005690611257319667,2.941394483445713,4526,0.9915716065888349,0.4229546447378694,
"(MIN($low, ($high + $low)) * MIN(($volume + $dollar_volume), ($open * $open)))",random-grammar-seed0,0.0056337165401844766,2.9263395684675633,4528,0.9890746065330188,0.42263588220756604,
"POWER(IF((CS_RANK(($volume + $low)) > 0), ($return + $low), ($close - $open)), 3)",random-grammar-seed0,0.005656224245205084,2.923854341480747,4527,0.986893869685819,0.4231145422176451,
"IF(((COUNT((BOUND($return, -3, 3) <= ($high - $open)), 63) * EMA($high, 5)) > $return), CS_DEMEAN(($low * $open)), $high)",random-grammar-seed0,0.005658774977574062,2.9052736092046083,4465,0.9896416793520999,0.4118466094055595,
"MAX(MIN($dollar_volume, $low), $high)",random-grammar-seed0,0.005438260394983959,2.8514582232887324,4528,0.9886245050727339,0.4232763755022607,
"(EMA($return, 21) - POWER(POWER(($volume * $high), 1.5), 0.5))",random-grammar-seed0,0.0044154387025714505,2.7507126167992655,4507,0.6367176052445795,0.42013779058850403,
"IF_ELSE(($dollar_volume <= 0), ($open - $open), ($low - $dollar_volume))",random-grammar-seed0,0.004381941419466682,2.74067864157624,4528,0.5795015864115819,0.4232763755022607,
"(POWER(($open + $dollar_volume), 1.5) + ZSCORE($dollar_volume))",random-grammar-seed0,-0.004369996452516683,-2.733150601775628,4528,0.4375335755953954,0.42263588220756604,
"MAX($dollar_volume, MIN($open, MIN(($close * $open), ($low + $close))))",random-grammar-seed0,-0.004369988006283745,-2.7331457623756847,4528,0.5798300107351161,0.42263588220756604,
"POWER(DELAY($dollar_volume, 21), 0.5)",random-grammar-seed0,-0.004004530044080672,-2.4982517523319463,4507,0.6811452915651285,0.42191395605593957,
"TS_DELTA(MIN($volume, $dollar_volume), 10)",random-grammar-seed0,0.0022377536320842485,1.8646747958884196,4518,0.40275386659304657,0.42170140468451867,
"(BOUND(TS_MEAN(MIN($return, ($close * $open)), 21), -3, 3) / (BOUND($high, -3, 3) + 1e-8))",random-grammar-seed0,-0.0038741300492539355,-1.682209335862564,4507,0.93873909377412,0.41901115217168267,
"TS_COVARIANCE(TS_CORR($open, MAX(($dollar_volume * $close), $low), 252), ($return + $dollar_volume), 5)",random-grammar-seed0,0.0018389043985354739,1.6724940766156988,4273,0.6211665818863084,0.3805125107840461,
"DELTA(RANK(TS_DELTA($low, 21)), 21)",random-grammar-seed0,-0.0028318901886055067,-1.6666652907471593,4486,0.9151798171436801,0.4167127065584423,
"(POWER(($high * $return), 1.5) - DELTA($volume, 21))",random-grammar-seed0,0.002232642477549116,1.4118938512089971,4380,0.43713910581944165,0.21731938779526672,
"TS_CORR(TS_CORR($return, $dollar_volume, 252), TS_COVARIANCE(($return - $volume), $close, 252), 5)",random-grammar-seed0,0.001163843972475136,1.1456856663333503,4272,0.7041321583691754,0.38427674782205823,
"(COUNT(($high < 0), 252) + TS_RANK(($low - $dollar_volume), 63))",random-grammar-seed0,-0.0014438186515907552,-1.1393026989037116,4277,0.4990246286801548,0.38492304853127257,
"(BOUND($open, -3, 3) * TS_COVARIANCE(($volume * $dollar_volume), $return, 21))",random-grammar-seed0,-0.0012547399115931134,-0.9283183381700578,4507,0.9266118994230307,0.41933004375564203,
"CS_ZSCORE((TS_MIN(($dollar_volume + $dollar_volume), 63) * TS_ARGMAX(($open * $close), 21)))",random-grammar-seed0,0.0015908854549774281,0.9152105389618074,4466,0.9070208617009418,0.41263280427787064,
