set,candidates,scorable,best_abs_t_is,null_max_abs_t,selected,oos_median_retention,sign_held,sign_held_frac,share_corr_gt_0.9_to_alpha101
claude-fable-5,20,20,9.82032861098699,2.1665659793418954,8,0.29519226317260505,7/8,0.875,0.0
claude-sonnet-5,54,53,11.641439390892948,2.5302261980454848,10,0.5281086231068564,10/10,1.0,0.03773584905660377
random-grammar-seed0,54,54,10.96842263093681,2.536816079115351,10,0.20534401720193945,7/10,0.7,
random-grammar-seed1,54,54,9.79922125809944,2.536816079115351,10,0.6658387619152482,8/10,0.8,
random-grammar-seed2,54,54,9.929996021750213,2.536816079115351,10,0.10728300238241965,5/10,0.5,
random-grammar-seed3,54,54,12.413793400705032,2.536816079115351,10,0.28198564265702286,7/10,0.7,
random-grammar-seed4,54,54,9.108990522101799,2.536816079115351,10,0.18328167977261914,7/10,0.7,
alpha101,50,50,12.112571658496911,2.509597434967554,10,0.5884473501389128,10/10,1.0,
