expression,model,mean_ic,ic_tstat,ic_days,signal_autocorr,coverage,error
"(BOUND(($volume * $low), -3, 3) - (MAX($close, $close) - IF((($high - $high) > 0), ($return + $open), $high)))",random-grammar-seed1,0.011670522199821717,9.79922125809944,4528,0.522663517117191,0.4232763755022607,
"BOUND(POWER($return, 0.25), -3, 3)",random-grammar-seed1,-0.01589948133556409,-7.6536485668082195,4401,0.1233214455697586,0.21885925601857856,
"SQRT(IF_ELSE((($dollar_volume * $open) <= $low), $high, $return))",random-grammar-seed1,-0.015895711629187338,-7.6516879297316125,4401,0.16061953295634837,0.21853223405429154,
"(COUNT((TS_SUM(($volume * $volume), 21) < 0), 21) - (MIN($low, ($return * $high)) * SQRT($return)))",random-grammar-seed1,0.011518466173550294,6.259278314960287,4360,0.14844197493874983,0.21586934091652615,
"(BOUND($return, -3, 3) + COUNT(($dollar_volume < 0), 5))",random-grammar-seed1,-0.012816455601650723,-5.8624361198090575,4524,-0.02331908475722987,0.4226392376026219,
"POWER((BOUND(TS_COVARIANCE(($open + $open), ($dollar_volume - $volume), 63), -3, 3) + (BOUND(($open - $volume), -3, 3) * TS_DELTA(($open * $close), 5))), 3)",random-grammar-seed1,0.010337939499884862,5.761812198352936,4466,0.7396714202839305,0.4120009575781275,
"MAX(($high - $low), ($return * $volume))",random-grammar-seed1,-0.008652839206642206,-5.099144200297748,4527,0.08584508182946768,0.4231145422176451,
"(TS_COVARIANCE($close, $high, 5) * MIN(($close - $high), $dollar_volume))",random-grammar-seed1,-0.006307615282774854,-5.043592042444732,4524,0.5896692980939471,0.42263691463681397,
"(TS_COV($volume, ($open * $volume), 10) / (POWER(TS_COVARIANCE(MIN(($high + $volume), $high), COUNT((TS_SUM($low, 21) < 0), 63), 21), 0.25) + 1e-8))",random-grammar-seed1,-0.008250413712916405,-4.972692963793102,4426,0.8608477784064751,0.40658857629942513,
"POWER(TS_COVARIANCE($volume, $return, 21), 2)",random-grammar-seed1,-0.009555328237666662,-4.8373777424215465,4507,0.9087606952410116,0.41995763168473743,
"(MAX(($volume * $return), MIN(($volume + $high), ($low + $open))) + TS_STD(($dollar_volume * $volume), 10))",random-grammar-seed1,-0.008304271244375223,-4.826093975137187,4519,0.8740577546356995,0.42121345281120803,
"(BOUND($low, -3, 3) - MAX(($open - $return), IF(($return > 0), SQRT(($dollar_volume * $return)), $high)))",random-grammar-seed1,0.008463717052633499,4.723647456278943,4527,0.08099302549200753,0.4224746941912304,
"POWER(TS_COV($return, $dollar_volume, 5), 2)",random-grammar-seed1,-0.007703717387278812,-4.569571019807952,4523,0.7150764959975885,0.42248101782037406,
"EMA($volume, 252)",random-grammar-seed1,-0.008651986133410566,-4.406894570169496,4277,0.9990817296166181,0.6397814347282098,
"TS_ARGMIN(MIN(TS_MAX(($return + $close), 63), $open), 252)",random-grammar-seed1,0.00869993577195971,4.387373238208114,4214,0.9879618576579025,0.3722181032597018,
CS_ZSCORE(($low - $volume)),random-grammar-seed1,0.008197359040030522,4.3422277186736835,4528,0.5892423873135997,0.4232763755022607,
"((POWER($volume, 1.5) - MAX(($return * $close), $dollar_volume)) * BOUND(($close + $volume), -3, 3))",random-grammar-seed1,-0.008187193259470578,-4.330248068912975,4527,0.4233858949264996,0.42311531653958107,
"ZSCORE(IF_ELSE((($return + $return) <= ($volume - $volume)), ($dollar_volume * $open), ($dollar_volume + $dollar_volume)))",random-grammar-seed1,0.00616820935694107,3.972292756522297,4527,0.17261376770227438,0.4227885526826061,
"(TS_CORR(($close * $low), ($volume * $low), 10) * IF((($dollar_volume + $volume) > ($high - $high)), $high, POWER($return, 2)))",random-grammar-seed1,-0.004098949555596349,-3.468831344020887,4519,0.8570292866840915,0.4218446542426712,
"(POWER($close, 3) - POWER($open, 1))",random-grammar-seed1,-0.005126719715786031,-3.4148816186204605,4528,0.9880017517960922,0.42263588220756604,
"BOUND(TS_RANK(($high + $low), 10), -3, 3)",random-grammar-seed1,-0.006096355351451795,-3.3298499983429957,4519,0.7789053183209437,0.4218446542426712,
"POWER(BOUND(TS_MIN($open, 5), -3, 3), 3)",random-grammar-seed1,0.005032358014077141,3.2828109629392532,2116,0.9506269716927048,0.42193241072874665,
"TS_ARGMIN((BOUND($open, -3, 3) / ((POWER($volume, 1.5) / (((TS_COVARIANCE($close, $close, 63) * BOUND($low, -3, 3)) * ABS(($low * $dollar_volume))) + 1e-8)) + 1e-8)), 10)",random-grammar-seed1,-0.0036450063491662078,-3.1911153770201444,4457,0.7732451392611921,0.4114021486143186,
"(IF_ELSE((($return + $low) < 0), ($volume * $open), $open) / (COUNT(($open < $dollar_volume), 3) + 1e-8))",random-grammar-seed1,0.005768548928956295,3.004675176950924,4526,0.9796572621362485,0.42228008127799255,
"MAX(TS_COVARIANCE($high, ($close + $close), 3), TS_CORR($high, ($volume * $return), 3))",random-grammar-seed1,-0.004027419047936919,-3.0036010751121784,4525,0.4761501941278405,0.42278158378518244,
"LOG(POWER($open, 3))",random-grammar-seed1,0.005656780854274619,2.9458786945056756,4528,0.9880526464407385,0.42263588220756604,
"IF((POWER($volume, 0.25) < 0), ($return + $volume), MIN($volume, $open))",random-grammar-seed1,0.005656780854274619,2.9458786945056756,4528,0.9880909816233125,0.42263588220756604,
"IF_ELSE((TS_COVARIANCE($low, ($close * $return), 252) < ($open - $volume)), $high, $low)",random-grammar-seed1,0.005927464112583987,2.918096645709661,4276,0.9912884962050229,0.3842917180461535,
"((TS_CORR(($volume - $open), $close, 252) + MIN($low, ($dollar_volume - $high))) * IF(($close < ($low * $close)), $high, $low))",random-grammar-seed1,0.0057717506640392255,2.8718355566319143,4277,0.9918712760744182,0.3811379048009896,
"(MAX($high, $open) * BOUND(IF(($volume >= $volume), $volume, ($close + $dollar_volume)), -3, 3))",random-grammar-seed1,0.0054361822240256,2.850400136548075,4528,0.9886367866901314,0.42263588220756604,
"IF((($volume + $dollar_volume) < 0), IF_ELSE(($open >= ($low - $open)), ($low * $return), $low), ($low - $dollar_volume))",random-grammar-seed1,0.004381941419466682,2.74067864157624,4528,0.5795015864115819,0.4232763755022607,
"IF_ELSE((($volume * $high) > $high), ($dollar_volume + $dollar_volume), COUNT((($dollar_volume + $high) <= ($return - $low)), 252))",random-grammar-seed1,-0.004381922372150227,-2.7406666212781414,4528,0.579501667623136,0.4232763755022607,
"IF_ELSE(($dollar_volume > 0), $dollar_volume, BOUND(TS_COVARIANCE($close, $return, 5), -3, 3))",random-grammar-seed1,-0.00438176621854626,-2.7406043677467715,4528,0.5793658008393939,0.4232771498241967,
"(IF_ELSE(($dollar_volume < $return), $open, $dollar_volume) * COUNT((($dollar_volume + $close) > 0), 10))",random-grammar-seed1,-0.004375034786665963,-2.737240524005252,4519,0.5798952869033646,0.4218483967986949,
"(POWER($dollar_volume, 2) - ABS((COUNT(((TS_CORR(($return * $high), $low, 3) + TS_RANK($low, 10)) >= ($open + $high)), 10) * POWER($low, 0.5))))",random-grammar-seed1,-0.0043627140628640015,-2.729273457256389,4510,0.31175547537117754,0.41955201604395054,
"MAX(MAX($low, $dollar_volume), BOUND(TS_STD($low, 5), -3, 3))",random-grammar-seed1,-0.004329602082200508,-2.7096712403497096,4524,0.5798193720786966,0.42263691463681397,
"IF_ELSE((TS_CORR($close, $close, 5) <= $low), POWER(($dollar_volume + $open), 1.5), ($high * $volume))",random-grammar-seed1,-0.004323517209738447,-2.706054457709461,4524,0.43756356804474106,0.42199964768351916,
"MAX(($low - $close), MAX(IF_ELSE(($dollar_volume >= 0), ($volume - $open), $volume), ($dollar_volume - $volume)))",random-grammar-seed1,-0.004040050939218324,-2.5415926532316155,4528,0.5822129005770895,0.42263588220756604,
"TS_MIN(IF(($open < 0), COUNT(($close <= 0), 252), $dollar_volume), 5)",random-grammar-seed1,-0.0040716324123846155,-2.5257882320772507,4524,0.9228569333842733,0.42193241072874665,
"LOG(BOUND(TS_MEAN($return, 63), -3, 3))",random-grammar-seed1,-0.004588925416894952,-2.3159170224952863,4437,0.8228446716045716,0.2524246923522158,
"MAX(BOUND(($dollar_volume * $close), -3, 3), TS_COVARIANCE(TS_COV($low, ($close * $high), 3), ($open * $high), 10))",random-grammar-seed1,-0.002823045226709179,-2.3041009651123483,4517,0.8290933416477992,0.4207511826154401,
"(SQRT($return) / (TS_COV($open, $return, 21) + 1e-8))",random-grammar-seed1,-0.0024777149270043897,-1.6097242102684066,4380,0.007292341523878744,0.21682304743431652,
"(BOUND(($dollar_volume - $volume), -3, 3) / (CS_ZSCORE(IF((($high * $close) <= ($dollar_volume * $return)), $high, $open)) + 1e-8))",random-grammar-seed1,-0.0013835055628378618,-1.5866803288865756,4527,0.3869828090071522,0.42278803646798213,
"MIN($close, TS_MIN($high, 3))",random-grammar-seed1,-0.0018635712266175113,-1.1477377906364847,4526,0.9931670060139263,0.4229546447378694,
"TS_ARGMIN(($open - $high), 5)",random-grammar-seed1,0.0013389274746164251,1.0732276771015692,4524,0.3409666889760237,0.42193241072874665,
"TS_CORR($close, $close, 3)",random-grammar-seed1,0.0006857888857595724,1.0272735122389816,4526,0.0894977684386699,0.4228539828861947,
"(TS_COV(($volume * $dollar_volume), $open, 63) + TS_COV(($dollar_volume + $low), MAX($volume, $low), 5))",random-grammar-seed1,-0.0011729227708742666,-0.9323195865662688,4466,0.9280731443354217,0.4120009575781275,
"(TS_DECAY_LINEAR(($open * $dollar_volume), 3) * IF(($dollar_volume > $close), $low, ($high + $return)))",random-grammar-seed1,0.0015746824552685611,0.9252557957743434,4526,0.9102402719915514,0.42228008127799255,
"COUNT(((TS_COVARIANCE(($return * $low), $low, 10) * (BOUND($volume, -3, 3) + TS_COVARIANCE($open, ($close + $open), 5))) > $close), 3)",random-grammar-seed1,0.0008440803526628358,0.7644867370582931,4498,0.8687309470236586,0.42064019647128587,
"EMA(TS_RANK(($dollar_volume * $dollar_volume), 21), 63)",random-grammar-seed1,0.000704251178157311,0.5115638432561009,4446,0.9828254841824356,0.7095346776852678,
"(TS_SUM(($low + $close), 10) + MIN(($return + $open), ($close - $high)))",random-grammar-seed1,0.0008924075428563374,0.5016681681370183,4519,0.99908679204134,0.42120996836249625,
"(MAX($low, ($open * $return)) * (EMA(($volume * $high), 10) - BOUND($close, -3, 3)))",random-grammar-seed1,-0.0006465614726336666,-0.3932505636068246,4519,0.9747311413451168,0.42128288367813244,
"TS_COVARIANCE(($dollar_volume * $volume), MIN($close, ($high + $dollar_volume)), 63)",random-grammar-seed1,-0.0003527329309720527,-0.26688039170820693,4466,0.9710277739034386,0.4135111434605609,
"COUNT(((LN(($open + $low)) / (TS_COV($high, ($return * $open), 5) + 1e-8)) < $return), 252)",random-grammar-seed1,2.4093678158834645e-05,0.016919769649563644,4272,0.994725698984534,0.38037003554782955,
