expression,model,mean_ic,ic_tstat,ic_days,signal_autocorr,coverage,error
"IF((($volume - $dollar_volume) > 0), TS_SUM(IF((($volume + $high) < ($high - $high)), $dollar_volume, ($low + $dollar_volume)), 63), $low)",random-grammar-seed3,0.005604692683654864,2.8998303334446835,4528,0.9810451978204048,0.4232763755022607,
"POWER(($high + $high), 0.25)",random-grammar-seed3,0.005438260394983959,2.8514582232887324,4528,0.9888001579752407,0.4232763755022607,
"(POWER($high, 2) - BOUND((MAX(($close * $volume), $open) - POWER(($open * $low), 1)), -3, 3))",random-grammar-seed3,0.0054361822240256,2.850400136548075,4528,0.9877623194487601,0.42263588220756604,
"(COUNT((MAX(($dollar_volume - $high), ($volume + $open)) >= 0), 3) + COUNT((TS_ARGMAX($close, 10) <= 0), 10))",random-grammar-seed3,-0.005038008452508878,-2.8359826337042273,4510,0.9567820398171081,0.4197639221470915,
$dollar_volume,random-grammar-seed3,-0.00438176621854626,-2.7406043677467715,4528,0.579365800839074,0.4232771498241967,
CS_RANK(($close - $dollar_volume)),random-grammar-seed3,0.004381761451236192,2.7406018359283433,4528,0.6755221086507848,0.4232771498241967,
($dollar_volume - $open),random-grammar-seed3,-0.004370010008955936,-2.733159838364014,4528,0.5798299287653598,0.42263588220756604,
"TS_MIN((CS_RANK($close) + CS_ZSCORE($low)), 21)",random-grammar-seed3,0.0037323116172669956,1.9652629828353505,4508,0.997336151612455,0.4201061724427857,
"TS_COVARIANCE(COUNT(($close < ($close * $open)), 10), POWER($volume, 0.25), 10)",random-grammar-seed3,0.0011805138431517268,1.7466894738636056,4510,0.033139693913160496,0.4195117513032806,
"TS_COVARIANCE($dollar_volume, CS_RANK(($high * $return)), 5)",random-grammar-seed3,-0.0017820147902151899,-1.493931333062799,4523,0.722675949567805,0.4224786948545662,
"ABS((MAX($open, $close) + COUNT((($low * $close) <= ($high + $low)), 3)))",random-grammar-seed3,0.0026635230024014338,1.4816197691581052,4526,0.9922063005167643,0.4223154419797347,
"COUNT(($return >= 0), 21)",random-grammar-seed3,-0.002472757815578811,-1.4573293294575,4507,0.9453454953229087,0.41995763168473743,
"(MIN($return, $high) + MIN($open, $close))",random-grammar-seed3,-0.0019721251250339636,-1.2149778001502562,4527,0.9904193593422091,0.4224746941912304,
"MAX(LOG(POWER(($close + $low), 1.5)), TS_ARGMAX(($return * $return), 10))",random-grammar-seed3,0.0016000454436643156,1.1676649883792838,4518,0.6453903039135722,0.42169030607010327,
"COUNT((MAX($low, BOUND($low, -3, 3)) < $open), 5)",random-grammar-seed3,-0.0007171814034966975,-0.7457303032754815,4524,0.8064269607266057,0.42193241072874665,
"(TS_CORR($open, IF(($dollar_volume >= 0), IF_ELSE((($high + $volume) > ($high + $open)), ($volume + $return), ($dollar_volume * $open)), IF(($volume > $close), ($return - $close), $volume)), 3) * IF(($low > 0), ($close * $return), $volume))",random-grammar-seed3,0.0004930850010251023,0.5092584337057204,4525,-0.020332345206931193,0.42209772846207405,
(RANK($low) + RANK($dollar_volume)),random-grammar-seed3,0.0007125725333321098,0.43686237234705044,4528,0.8270291462194873,0.4232763755022607,
"(MIN($low, ($close * $open)) + TS_COVARIANCE(($high + $dollar_volume), $return, 10))",random-grammar-seed3,-0.0005366969188854429,-0.3754219802731318,4518,0.8798523894021172,0.42105291006315243,
"TS_DECAY_LINEAR((TS_MIN($dollar_volume, 3) * (IF_ELSE(($dollar_volume < ($close - $return)), $high, $high) / (BOUND($open, -3, 3) + 1e-8))), 63)",random-grammar-seed3,-0.0003216105461418918,-0.196850849623244,4464,0.9983929931053217,0.4116926483939595,
"(TS_COVARIANCE(($dollar_volume * $return), $dollar_volume, 5) / ((SIGN(($dollar_volume - $close)) * IF_ELSE(($close <= 0), $open, ($close * $dollar_volume))) + 1e-8))",random-grammar-seed3,-0.00020026631104639342,-0.1398437778054039,4523,0.6999711017480066,0.42248101782037406,
"TS_COV(DELTA(POWER(TS_DECAY_LINEAR($high, 63), 1.5), 10), (SQRT($low) + TS_COV(($return - $dollar_volume), $low, 63)), 21)",random-grammar-seed3,0.0001350341286948232,0.12986156499209425,4436,0.9873459954374796,0.4088454666354357,
"(TS_CORR($high, $close, 3) - TS_CORR(TS_CORR(($high + $close), $volume, 3), POWER($high, 1.5), 5))",random-grammar-seed3,8.01249534671881e-05,0.08616364834224496,4522,0.46072640903261913,0.4221070203253055,
"(TS_MEAN($volume, 3) / (TS_CORR(TS_COVARIANCE(($volume + $dollar_volume), ($volume + $close), 63), ($open * $close), 5) + 1e-8))",random-grammar-seed3,-4.72151618195624e-05,-0.054559464810756506,4462,0.006437709852569852,0.4122511926170984,
